institución,DIRECCIÓN,GEOLOCALIZACIÓN,UNIDAD ACADÉMICA / ÁREA,CARRERAS,LINK,Tipo,PERIODO DE INSCRIPCIÓN,Teléfono,CONTACTO,INFO ADICIONAL
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Estética Profesional,Peluquero,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Industria Gráfica,Diseño Gráfico I,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Industria Gráfica,Diseño Gráfico II,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Industria Gráfica,Diseño de Productos Impresos en 3D,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Diseño Proyectual,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Diseño Proyectual Avanzado,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Diseño Web,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Habilidades Digitales,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Pensamiento Computacional - Programación,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Informática,Programador,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Madera y Mueble,Carpintero de Banco,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Metalmecánica y Metalurgia,Fresador,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Metalmecánica y Metalurgia,Soldador Básico,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Metalmecánica y Metalurgia,Tornero,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Seguridad y Medio Ambiente,Apoyo en Seguridad e Higiene,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Textil e Indumentaria,Operador de Máquina para la Confección de Prendas,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Administración de Pymes,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Administración y Conducción de RRHH,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Administrativo,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Auxiliar contable,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Auxiliar en Marketing de Productos,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Auxiliar en Marketing de Servicios,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Habilidades para Emprender,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Administración y Comercialización,Operador de Herramientas de Marketing y Venta Digital,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Actualización de Gasista Domiciliario,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Actualización en Gasista de Unidades Funcionales,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Armador y Montador de Paneles y Cielorrasos de Placas Roca de Yeso,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Armador y Montador de componentes metálicos livianos,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Colocación revestimiento plástico,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Electricista en Inmuebles,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Gasista Domiciliario,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Gasista de Unidades Funcionales,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Instalador Sanitarista,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Montador Electricista Domiciliario,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Montador de Instalaciones Sanitarias Domiciliarias,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Construcciones,Pintura de Obra,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Electromecánica,Instalador y Reparador de equipos de climatización,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Informática,Diseño Proyectual Asistido por Computadora,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",,Informática,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Informática,Operador de Informática para Administración y Gestión,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Metalmecánica,Inglés para Ámbitos Técnicos e Industriales Nivel I,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Metalmecánica,Inglés para Ámbitos Técnicos e Industriales Nivel II,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Metalmecánica,Soldador Básico,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 405 'Segundo B. Palma',Caseros 2244 (esquina Matheu),"-34.57722, -58.54182",Seguridad y Medio Ambiente,Auxiliar en Seguridad e Higiene Laboral,,Formación Profesional,,4101 6122,cific405samartin@uocra.org,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Administración y Conducción de RRHH,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Administrativo,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Auxiliar en Marketing de Productos,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Auxiliar en Marketing de Servicios,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Cajera/o de Súper e Hipermercado,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Habilidades para emprender,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Liquidador de Sueldos,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Operador de Herramientas de Marketing y Venta Digital,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Administración y Comercialización,Relaciones Públicas,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701","Electricidad, Electrónica y Electromecánica",Circuitos Eléctricos y Mediciones,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701","Electricidad, Electrónica y Electromecánica",Montador Electricista Domiciliario,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Informática,Habilidades Digitales,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",,Informática,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Informática,Mantenimiento e Instalación de Redes Informáticas,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 406 'San José Obrero',Av. Ricardo Balbín 1985,"-34.57757, -58.53701",Informática,Programador de Sistemas Informáticos Multimediales,cfp406.com.ar,Formación Profesional,,4754 4909 / 4753 5751,,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Administración y Comercialización,Habilidades para Emprender,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Comunicación Social,Comunicador/a para Organizaciones Sociales,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Comunicación Social,Relaciones Laborales y Género,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Construcciones,Techista,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Electromecánica,Reparador/a de Electrodomésticos,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Estética Personal,Peluquera/o,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Industria Gráfica,Práctico en Serigrafía,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 407,"Ombú 7842, Barrio Libertador","-34.54904, -58.59141",Textil e Indumentaria,Diseño Textil en Estampas,,Formación Profesional,,156 487 9135,cfp407sanmartin@gmail.com,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Automotriz,Mecánica de Ciclomotores,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Electromecánica,Reparación de Electrodomésticos,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Energía Eléctrica,Montador Electricista Domiciliario,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Gastronomía,Cocinera/o,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Gastronomía,Maestra/o Pizzero y Rotisero,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
CFP 408 'Capilla del Milagro',"25 de Mayo 8171, José León Suárez","-34.52938, -58.57340",Gastronomía,Mozo Básico,,Formación Profesional,,4843 5210,cfp408sanmartin@abc.gob.ar,
Conservatorio de Música 'Alfredo Luis Schiuma',"San Lorenzo 2381, San Martín","-34.57458, -58.54147",,Prof./Tecnicatura en Instrumentos,conservatoriodesanmartn.blogspot.com,Educación Superior,,47130254,preceptoriacmsm@gmail.com,
Conservatorio de Música 'Alfredo Luis Schiuma',"San Lorenzo 2381, San Martín","-34.57458, -58.54147",,Canto,conservatoriodesanmartn.blogspot.com,Educación Superior,,47130254,preceptoriacmsm@gmail.com,
Conservatorio de Música 'Alfredo Luis Schiuma',"San Lorenzo 2381, San Martín","-34.57458, -58.54147",,Dirección Coral,conservatoriodesanmartn.blogspot.com,Educación Superior,,47130254,preceptoriacmsm@gmail.com,
Conservatorio de Música 'Alfredo Luis Schiuma',"San Lorenzo 2381, San Martín","-34.57458, -58.54147",,Orientación en Educación Musical,conservatoriodesanmartn.blogspot.com,Educación Superior,,47130254,preceptoriacmsm@gmail.com,
Conservatorio de Música 'Alfredo Luis Schiuma',"San Lorenzo 2381, San Martín","-34.57458, -58.54147",,Composición,conservatoriodesanmartn.blogspot.com,Educación Superior,,47130254,preceptoriacmsm@gmail.com,
Discapacidad,"Gral. N. Manuel Savio 2500, B1650 Villa Maipú, Provincia de Buenos Aires","-34.57479, -58.52182",,Informática,,Curso,,,,
"EEST 1 ""Manuel Belgrano""","Int. Campos 1950, San martín","-34.57773, -58.53636",,Electrónica,https://linktr.ee/EEST1.SM,Educación Secundaria,,47543986,eest1gralsanmartin@abc.gob.ar,
"EEST 4 ""Emilio Mitre""",Gral. San Martín 1714,"-34.58036, -58.5347",,Energías Renovables,http://www.emiliomitre.com.ar/,Educación Secundaria,,47552116,emitre2003@yahoo.com.ar,
"EEST 4 ""Emilio Mitre""",Gral. San Martín 1714,"-34.58036, -58.5347",,Construcciones,http://www.emiliomitre.com.ar/,Educación Secundaria,,47552116,emitre2003@yahoo.com.ar,
"EEST 4 ""Emilio Mitre""",Gral. San Martín 1714,"-34.58036, -58.5347",,Electromecanica,http://www.emiliomitre.com.ar/,Educación Secundaria,,47552116,emitre2003@yahoo.com.ar,
"EEST 5 ""Galileo Galilei""","Av. Eva Perón 4541, Villa Bonich","-34.56989, -58.57286",,Informática,https://galileo.edu.ar/sitio23/,Educación Secundaria,,47687115,eest5gralsanmartin@abc.gob.ar,
"EEST 5 ""Galileo Galilei""","Av. Eva Perón 4541, Villa Bonich","-34.56989, -58.57286",,Multimedios,https://galileo.edu.ar/sitio23/,Educación Secundaria,,47687115,eest5gralsanmartin@abc.gob.ar,
"EEST 5 ""Galileo Galilei""","Av. Eva Perón 4541, Villa Bonich","-34.56989, -58.57286",,Programación,https://galileo.edu.ar/sitio23/,Educación Secundaria,,47687115,eest5gralsanmartin@abc.gob.ar,
"EEST N° 2 ""Alemania""",Pacifico Rodríguez 5650,"-34.54391, -58.56133",,Electromecánica,,Educación Secundaria,,1177398125,eest2gralsanmartin@abc.gob.ar,
"EEST N° 2 ""Alemania""",Pacifico Rodríguez 5650,"-34.54391, -58.56133",,Alimentos,,Educación Secundaria,,1177398125,eest2gralsanmartin@abc.gob.ar,
"EEST N° 3 ""Prefectura Naval Argentina""",Av. 101 (R. Balbín) N°2281,"-34.57862, -58.5444",,Administración,https://tecnica3desanmartin.blogspot.com/,Educación Secundaria,,47550334,tecnica3@live.com.ar,
"EEST N° 3 ""Prefectura Naval Argentina""",Av. 101 (R. Balbín) N°2281,"-34.57862, -58.5444",,Electrónica,https://tecnica3desanmartin.blogspot.com/,Educación Secundaria,,47550334,tecnica3@live.com.ar,
"EEST N° 3 ""Prefectura Naval Argentina""",Av. 101 (R. Balbín) N°2281,"-34.57862, -58.5444",,Química,https://tecnica3desanmartin.blogspot.com/,Educación Secundaria,,47550334,tecnica3@live.com.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Acompañante terapéutico (RM 1014/14),,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Auxiliar en cuidados de adultas/os mayores (RM 2347/13),,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Auxiliar de familia especializado en el cuidado de personas con discapacidad (RM 5697),,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Auxiliar de familia especializado en cuidado de niñas/os (RM 1159/08),,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Curso de primeros auxilios,,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela Cruz Roja Argentina Filial San Andrés - CFP 4262,"Riobamba 2847, San Martín","-34.56648, -58.54174",,Curso de RC,,Educación Superior,,4755 7600 / 11 5993 1329,educa.sandres@cruzroja.org.ar,
Escuela de Artes Visuales 'Antonio Berni',"Tucumán 130, San Martín","-34.57429, -58.54377",,Tecnicatura Sup. en Diseño Gráfico,www.eavaberni.bue.infd.edu.ar,Educación Superior,,47240302,eavaberni@hotmail.com,
Escuela de Artes Visuales 'Antonio Berni',"Tucumán 130, San Martín","-34.57429, -58.54377",,Tecnicatura Sup. en Diseño de Imagen y Sonido,www.eavaberni.bue.infd.edu.ar,Educación Superior,,47240302,eavaberni@hotmail.com,
Escuela de Artes Visuales 'Antonio Berni',"Tucumán 130, San Martín","-34.57429, -58.54377",,Prof. en Artes Visuales (Pintura/Grabado/Escultura),www.eavaberni.bue.infd.edu.ar,Educación Superior,,47240302,eavaberni@hotmail.com,
Escuela de Artes Visuales 'Antonio Berni',"Tucumán 130, San Martín","-34.57429, -58.54377",,Diseño Gráfico,www.eavaberni.bue.infd.edu.ar,Educación Superior,,47240302,eavaberni@hotmail.com,
Escuela de Enfermería Hospital Municipal 'Dr. Diego E. Thompson',"Avellaneda 33, San Martín","-34.581, -58.5442",,Tecnicatura Sup. en Enfermería,,Educación Superior,,,tsenfermeriahospitalthompson@gmail.com,
"Escuela Técnica Universitaria ""Werner von Siemens""","Martín Lange N° 4377, Villa Ballester","-34.5565, -58.55511",,Tecnico Electronico,https://sanmartinest.inspt.utn.edu.ar/,Educación Secundaria,,1136780676,secretaria@siemens.inspt.utn.edu.ar,
Escuela Técnica Universitaria UNSAM,C.Fernández 4254 e/ Zeballos y Gabriela Mistral,"-34.543, -58.58599",,Técnica Industrial en Procesos,https://www.unsam.edu.ar/escuela_secundaria/,Educación Secundaria,,47551946,secundariatecnicaunsam@gmail.com,
Escuela Técnica Universitaria UNSAM,C.Fernández 4254 e/ Zeballos y Gabriela Mistral,"-34.543, -58.58599",,Bachiller en Cs. Naturales,https://www.unsam.edu.ar/escuela_secundaria/,Educación Secundaria,,47551946,secundariatecnicaunsam@gmail.com,
Escuela Técnica Universitaria UNSAM,C.Fernández 4254 e/ Zeballos y Gabriela Mistral,"-34.543, -58.58599",,Bachiller con Oficios - Carpintería,https://www.unsam.edu.ar/escuela_secundaria/,Educación Secundaria,,47551946,secundariatecnicaunsam@gmail.com,
Espacio Cultural Ballester  ,"Vicente López 2946, Villa Ballester","-34.55218, -58.55583",,Excel Desde Cero,,Sedes Potenciate,,,,Sábados - 9 a 11
Espacio Cultural Cárcova,"Combet y Costanera, José León Suárez","-34.51905, -58.58132",,Primeros Pasos de la Computación,,Sedes Potenciate,,,,Jueves - 9:30 a 11
Formación Laboral Sm,"Av. Balbín 2652, San Martín","-34.57562, -58.54845",San Martín Emprende,,,Formación Profesional,,1160565043,,"Lunes a viernes, de 8 a 15 hs."
Inst. Sup. de Prof. Santo Tomás de Aquino,"Dr. Ramón Carrillo 2476, San Martín","-34.57142, -58.54457",,Tecnicatura Sup. en Turismo,www.ista.org.ar,Educación Superior,,47556350,info@ista.org.ar,
Inst. Sup. de Prof. Santo Tomás de Aquino,"Dr. Ramón Carrillo 2476, San Martín","-34.57142, -58.54457",,Hotelería,www.ista.org.ar,Educación Superior,,47556350,info@ista.org.ar,
Inst. Sup. de Prof. Santo Tomás de Aquino,"Dr. Ramón Carrillo 2476, San Martín","-34.57142, -58.54457",,Higiene y Seguridad en el Trabajo,www.ista.org.ar,Educación Superior,,47556350,info@ista.org.ar,
Inst. Sup. de Prof. Santo Tomás de Aquino,"Dr. Ramón Carrillo 2476, San Martín","-34.57142, -58.54457",,Psicopedagogía,www.ista.org.ar,Educación Superior,,47556350,info@ista.org.ar,
Inst. Sup. de Prof. Santo Tomás de Aquino,"Dr. Ramón Carrillo 2476, San Martín","-34.57142, -58.54457",,Prof. en Historia,www.ista.org.ar,Educación Superior,,47556350,info@ista.org.ar,
Inst. Sup. Ntra. Sra. de Luján del Buen Viaje,"Ruta 8 6725, Loma Hermosa","-34.5632, -58.59348",,Tecnicatura Sup. en Análisis de Sistemas,www.lujanbuenviaje.edu.ar,Educación Superior,,47690615,terciario@lujanbuenviaje.edu.ar,
Inst. Sup. Ntra. Sra. de Luján del Buen Viaje,"Ruta 8 6725, Loma Hermosa","-34.5632, -58.59348",,Redes Informáticas,www.lujanbuenviaje.edu.ar,Educación Superior,,47690615,terciario@lujanbuenviaje.edu.ar,
Instituto Holters,Independencia 836,"-34.53745, -58.55884",,Electrónica,https://www.colegiosenbuenosaires.com/colegio-holters-schule/,Educación Secundaria,,47680480,secundaria@hoelters.edu.ar,
Instituto La Salle,Av. Eva Perón 3151,"-34.57883, -58.56171",,Electromecánica,https://lasallesm.edu.ar/,Educación Secundaria,,47524359,institucional@lasalle.edu.ar,
Instituto La Salle,Av. Eva Perón 3151,"-34.57883, -58.56171",,Construcción,https://lasallesm.edu.ar/,Educación Secundaria,,47524359,institucional@lasalle.edu.ar,
Instituto La Salle,Av. Eva Perón 3151,"-34.57883, -58.56171",,Multimedios,https://lasallesm.edu.ar/,Educación Secundaria,,47524359,institucional@lasalle.edu.ar,
Instituto La Salle,Av. Eva Perón 3151,"-34.57883, -58.56171",,"Secundaria Orientada
",https://lasallesm.edu.ar/,Educación Secundaria,,47524359,institucional@lasalle.edu.ar,
Instituto Politécnico San Martín (DiEGeP 5125),"Belgrano 3720, San Martín","-34.57757, -58.53701",,Instalador Gasista ex 3ra y 2da (Matriculado),,Educación Superior,,4752 0750 | WhatsApp: 11 2321 1883,inspolitecnicosm@gmail.com,
Instituto Politécnico San Martín (DiEGeP 5125),"Belgrano 3720, San Martín","-34.57757, -58.53701",,Instalador Electricista (Matriculado T2),,Educación Superior,,4752 0750 | WhatsApp: 11 2321 1883,inspolitecnicosm@gmail.com,
Instituto Sagrado Corazón,"Dr. R. Carrillo 2349, San Martín","-34.5741, -58.54041",,Prof. en Educación Inicial,www.docentesdelsagrado.edu.ar,Educación Superior,,47534278,,
Instituto Sagrado Corazón,"Dr. R. Carrillo 2349, San Martín","-34.5741, -58.54041",,Prof. en Educación Primaria,www.docentesdelsagrado.edu.ar,Educación Superior,,47534278,,
Instituto San Antonio de Padua,Calle 71 (ex Prof. Aguer) 7201,"-34.53694, -58.57694",,Administración,https://www.ipadua.edu.ar/,Educación Secundaria,,47292509,cefsecunaria@gmail.com,
Instituto San Antonio de Padua,Calle 71 (ex Prof. Aguer) 7201,"-34.53694, -58.57694",,Multimedios,https://www.ipadua.edu.ar/,Educación Secundaria,,47292509,cefsecunaria@gmail.com,
Instituto San Antonio de Padua,Calle 71 (ex Prof. Aguer) 7201,"-34.53694, -58.57694",,Electromecánica,https://www.ipadua.edu.ar/,Educación Secundaria,,47292509,cefsecunaria@gmail.com,
Instituto San Martín,ISLAS MALVINAS 2663,"-34.56718, -58.53879",,Prof. en Educación Física,www.isanmartin.com.ar,Educación Superior,,47133416,info@isanmartin.com.ar,
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Cs. Políticas,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
