provider_name,program_name,title,level_or_modality,modality,address,barrio,locality,contact,phone,website,schedule,duration,enrollment_period,notes,unit,lat,lon,maps_url,address_kmz,geo_source
"Centro de Formación 
Profesional N°401",Gasista 3ra. Cat. - Unidades,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Herrero de Obra,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Inglés I - II,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Inst. y Soporte Sistemas Informáticos,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Instalaciones Sanitarias,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Limpieza Institucional,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Liquidación de Sueldos,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Maestra/o Pizzero y Rotisero,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Maestro Pizzero Rotisero,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Marketing de Productos - Servicios,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Modista,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Muebles Artesanales y Objetos,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Operador de Informática,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Operador/a de Informática,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Operador/a Socio Comunitario,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Peluquera/o,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Permanentación-Colorista,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Progr. Dispositivos Móviles,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Programación en Aplicaciones Web,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Programación Orientación Robótica,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Recepcionista y Conserje Hotel,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Recreación de Grupos,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Reparación Refrigeración Doméstica,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Reparador de Muebles - Lustrador,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Soldador,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Tejido en Telar,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Tornero Mecánico,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Téc. Básicas Diseño Indumentaria,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Técnica/o en Diseño Gráfico I - II,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Vendedor - Herramientas Marketing y,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N°401",Vendedor/a - Herramientas Marketing y,,Curso,,"Coronel Mom 2570, San Martín Centro",,San Martín,,Tels.: 4752 4497 / 4752 3020,https://cfp401sanmartin.com,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronel+Mom+2570%2C+San+Mart%C3%ADn+Centro,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
